pl_name,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_age,sy_dist
"HD 21520 b",2024,"Transit",25.12920000000,0.1726000000,2.69700000,1.77000000000000e+01,17.70000000,1.350000,637.00,25.7431,0.000000,89.23000,5871.00,1.044000,1.090000,0.06595,5.3000,79.20800000
"TOI-1411 b",2022,"Transit",1.45205270000,0.0212200000,1.19880592,2.00000000000000e+00,2.00000000,6.360000,976.40,266.8500,0.000000,,4115.00,0.614000,0.604500,-1.01323,9.6000,32.47780000
"K2-285 c",2018,"Transit",7.13804800000,0.0824000000,3.53000000,1.56800000000000e+01,15.68000000,1.950000,741.40,50.3500,0.000000,89.86100,4975.00,0.787000,0.830000,-0.42183,,154.96100000
"HATS-38 b",2020,"Transit",4.37502100000,0.0503600000,6.88232600,2.35194200000000e+01,23.51942000,0.403000,1294.00,464.7000,0.000000,87.21000,5732.00,1.105000,0.890000,0.07151,11.8900,343.52500000
"HD 32963 b",2015,"Radial Velocity",2372.00000000000,3.4100000000,13.40000000,6.57904802490000e+02,657.90480249,1.500000,,,0.070000,19.30000,5727.00,1.111044,0.940000,0.06398,4.9900,38.07860000
"HIP 78530 b",2010,"Imaging",,740.0000000000,12.00000000,7.30000000000000e+03,7300.00000000,23.200000,2700.00,,,,10500.00,2.108760,2.500000,1.36840,0.0050,136.75900000
"1RXS J160929.1-210524 b",2008,"Imaging",,330.0000000000,18.64700000,3.00000000000000e+03,3000.00000000,2.540000,1700.00,,,,4060.00,1.313160,0.850000,-0.37000,0.0050,139.13500000
"OGLE-2012-BLG-0563L b",2015,"Microlensing",,0.7400000000,13.60000000,1.20000000000000e+02,120.00000000,0.262000,,,,,,,0.340000,,,1300.00000000
"OGLE-2016-BLG-1266L b",2018,"Microlensing",,0.4300000000,12.40000000,3.81394088400000e+03,3813.94088400,11.000000,,,,,,,0.015000,,,3080.00000000
"TOI-4603 b",2023,"Transit",7.24599000000,0.0888000000,11.67975789,4.09680816623000e+03,4096.80816623,14.100000,1677.00,1192.0000,0.325000,80.21000,6264.00,2.738000,1.765000,1.01703,1.6400,225.64300000
"K2-265 b",2018,"Transit",2.36902000000,0.0335900000,1.70824866,7.34183620170000e+00,7.34183620,7.900000,1366.00,592.0000,0.160000,87.01000,5420.00,0.920000,0.901000,-0.18243,7.8000,138.67100000
"KMT-2022-BLG-1818L b",2026,"Microlensing",,2.6000000000,13.00000000,1.27131362800000e+03,1271.31362800,3.180000,,,,,,,0.790000,,,5300.00000000
"WASP-2 b",2007,"Transit",2.15217500000,0.0314400000,12.11692900,2.95899730000000e+02,295.89973000,0.914000,1311.00,492.0000,0.005400,84.49000,5180.00,0.866000,0.895000,-0.31336,8.2000,153.24200000
"HD 106315 c",2017,"Transit",21.05704000000,0.1536000000,4.35000000,1.52000000000000e+01,15.20000000,1.010000,886.00,97.0000,0.220000,88.61000,6327.00,1.296000,1.091000,0.39454,4.4800,109.35300000
"WASP-28 b",2014,"Transit",3.40883495000,0.0442000000,13.66374747,2.82549453823000e+02,282.54945382,0.651163,1456.00,695.6500,0.000000,88.51400,6084.00,1.083000,0.993000,0.15000,5.5000,348.49400000
"NGTS-33 b",2024,"Transit",2.82797200000,0.0480000000,18.38272835,1.15371711741000e+03,1153.71711741,0.190000,1991.00,2620.0000,0.000000,83.94000,7437.00,1.470000,1.600000,0.77159,0.0300,437.85500000
"Kepler-79 e",2014,"Transit",81.06590000000,0.3860000000,3.49000000,4.10000000000000e+00,4.10000000,0.530000,511.00,18.7800,0.012000,89.13000,6174.00,1.302000,1.165000,0.34200,3.4400,1020.72000000
"Kepler-79 c",2012,"Transit",27.40290000000,0.1870000000,3.72000000,5.90000000000000e+00,5.90000000,0.620000,734.00,79.7650,0.030000,89.48000,6174.00,1.302000,1.165000,0.34200,3.4400,1020.72000000
"Kepler-79 b",2012,"Transit",13.48450000000,0.1170000000,3.47000000,1.09000000000000e+01,10.90000000,1.430000,929.00,205.4040,0.015000,88.78000,6174.00,1.302000,1.165000,0.34200,3.4400,1020.72000000
"WASP-180 A b",2019,"Transit",3.40926400000,0.0480000000,13.89916000,2.86047000000000e+02,286.04700000,0.610000,1540.00,918.3877,0.000000,88.10000,6600.00,1.190000,1.300000,0.31533,1.2000,253.98500000
"GJ 3090 b",2022,"Transit",2.85310198000,0.0316000000,2.18000000,4.52000000000000e+00,4.52000000,2.400000,723.00,45.4000,0.250000,86.90000,3707.00,0.516000,0.519000,-1.34199,,22.47510000
"TOI-421 b",2020,"Transit",5.19757600000,0.0554000000,2.64000000,6.70000000000000e+00,6.70000000,2.040038,922.00,154.5700,0.130000,85.68000,5291.00,0.866000,0.833000,-0.26777,10.9000,74.79690000
"HD 108341 b",2014,"Radial Velocity",1129.00000000000,2.0000000000,13.30000000,7.15113915750000e+02,715.11391575,1.670000,,,0.850000,65.00000,5122.00,0.790000,0.843000,-0.37001,4.9000,48.91020000
"HR 2562 b",2016,"Imaging",,27.0000000000,12.44199000,4.19533497240000e+03,4195.33497240,12.000000,1255.00,,,,6597.00,1.334000,1.368000,0.53147,0.5000,34.00710000
"WASP-195 b",2025,"Transit",5.05192800000,0.0630000000,10.31226224,3.30541543280000e+01,33.05415433,0.160000,1522.00,890.0000,0.000000,86.30000,6300.00,1.578000,1.300000,0.54140,0.6000,484.85200000
"TOI-1789 b",2021,"Transit",3.20866400000,0.0488200000,16.14093221,2.22479884900000e+02,222.47988490,0.280000,1927.00,2300.0000,,78.41000,5991.00,2.168000,1.507000,0.73640,2.7300,229.06700000
"CoRoT-28 b",2015,"Transit",5.20851000000,0.0603000000,10.70459500,1.53829720000000e+02,153.82972000,0.690000,,,0.047000,88.10000,5150.00,1.780000,1.010000,0.38849,12.0000,766.18300000
"WASP-98 b",2014,"Transit",2.96264036000,0.0376200000,12.82309600,2.93039260000000e+02,293.03926000,0.764000,1171.00,269.8828,0.000000,86.38000,5473.00,0.741000,0.809000,-0.35780,2.7000,281.74200000
"Kepler-10 c",2011,"Transit",45.29430100000,0.2410000000,2.35500000,1.12900000000000e+01,11.29000000,4.750000,579.00,18.3000,0.136000,89.62300,5708.00,1.065000,0.910000,0.05467,10.6000,185.50600000
"TOI-4087 b",2023,"Transit",3.17748350000,0.0446900000,13.04725353,2.32014737110000e+02,232.01473711,0.570000,1458.00,753.9000,0.000000,87.82000,6060.00,1.112000,1.178000,0.17609,0.8000,301.67600000
"HD 62364 b",2022,"Radial Velocity",5138.00000000000,6.1500000000,12.10000000,5.96563919939000e+03,5965.63919939,18.500000,,0.0720,0.607000,137.30000,6255.00,1.401000,1.157000,0.43297,3.9010,53.11200000
"TOI-2019 b",2024,"Transit",15.34440000000,0.1280000000,5.33275337,3.44000000000000e+01,34.40000000,1.250000,917.46,126.0520,0.000000,,5626.00,1.745700,1.183200,0.44075,6.4000,198.00700000
"TOI-1798.02",2024,"Transit",0.43781182200,0.0107890000,1.46400000,5.60000000000000e+00,5.60000000,11.170000,1935.83,3345.4400,0.000000,,5165.00,0.780000,0.870000,-0.41567,2.6000,113.18100000
"TOI-4600 b",2023,"Transit",82.68690000000,0.3490000000,6.80000000,9.59841789140000e+02,959.84178914,,347.00,3.3159,0.250000,89.76000,5170.00,0.810000,0.890000,-0.37675,2.3000,216.05600000
"K2-140 b",2017,"Transit",6.56918800000,0.0680000000,13.56286665,2.95580418510000e+02,295.58041851,0.660000,962.00,204.0000,0.000000,88.30000,5585.00,1.060000,0.960000,-0.04915,9.8000,347.91700000
"Kepler-434 b",2015,"Transit",12.87470990000,0.1143000000,12.67000000,9.08960000000000e+02,908.96000000,2.400000,1000.00,158.2850,0.131000,86.46000,5977.00,1.380000,1.198000,0.33000,4.0000,1222.54000000
"Kepler-433 b",2015,"Transit",5.33408384000,0.0679000000,16.25000000,8.96240000000000e+02,896.24000000,1.130000,1776.00,1682.6600,0.119000,89.21000,6360.00,2.260000,1.460000,0.88000,2.6700,1878.31000000
"HATS-43 b",2018,"Transit",4.38884970000,0.0494400000,13.22662000,8.29536300000000e+01,82.95363000,0.191000,1003.00,192.2328,0.173000,89.24000,5099.00,0.812000,0.837000,-0.39794,8.6000,362.27300000
"HIP 41378 e",2016,"Transit",369.00000000000,,4.92000000,1.20000000000000e+01,12.00000000,0.550000,335.00,2.1000,,89.91000,6320.00,1.273000,1.160000,0.39646,4.2790,106.28900000
"HD 207897 b",2021,"Transit",16.20166000000,0.1170000000,2.34302132,1.48000000000000e+01,14.80000000,6.290000,581.75,26.5000,0.000000,88.75700,5106.00,0.782700,0.820800,-0.42136,4.7000,28.29380000
"HD 110067 b",2023,"Transit",9.11367800000,0.0793000000,2.20000000,5.69000000000000e+00,5.69000000,2.940000,800.00,,,89.06100,5266.00,0.788000,0.798000,-0.36224,8.1000,32.15850000
"TOI-3474 b",2025,"Transit",3.87951050000,0.0502000000,14.67255574,1.93875328270000e+02,193.87532827,0.337000,1451.00,740.0000,0.130000,89.33000,6020.00,1.256000,1.121000,0.26951,4.7000,420.12300000
"Kepler-432 b",2015,"Transit",52.50112900000,0.3010000000,12.83430500,1.71946030000000e+03,1719.46030000,4.460000,812.00,97.8460,0.513400,88.17000,4995.00,4.060000,1.320000,0.92561,4.2000,848.02300000
"TOI-5181 A b",2025,"Transit",3.89222950000,0.0522000000,13.34989601,3.30541543280000e+02,330.54154328,0.760000,1585.00,1053.0000,0.150000,83.68000,6060.00,1.530000,1.250000,0.45788,4.1000,480.15500000
"HD 20329 b",2022,"Transit",0.92611800000,0.0180000000,1.72000000,7.42000000000000e+00,7.42000000,8.060000,2141.00,3474.0000,0.000000,76.01000,5596.00,1.130000,0.900000,0.04922,11.0000,63.67960000
"TOI-260 b",2024,"Transit",13.47585300000,0.0943000000,1.71000000,4.23000000000000e+00,4.23000000,4.660000,493.00,10.1838,0.000000,88.84000,4026.00,0.607000,0.616000,-1.05899,15.9000,20.18520000
"WASP-87 b",2016,"Transit",1.68279500000,0.0294600000,15.52446500,6.92869400000000e+02,692.86940000,1.020000,2049.54,4170.0965,0.000000,81.07000,6450.00,1.627000,1.204000,0.53683,,298.39200000
"OGLE2-TR-L9 b",2008,"Transit",2.48553350000,0.0308000000,18.04600000,1.43017500000000e+03,1430.17500000,1.250000,2034.00,4135.4482,,79.80000,6933.00,1.530000,1.520000,0.51197,1.0000,1627.63000000
"NN Ser c",2010,"Eclipse Timing Variations",6987.00000000000,5.3500000000,12.60000000,2.32960000000000e+03,2329.60000000,6.400000,,,0.089000,,57000.00,,0.535000,,,515.81800000
"NN Ser d",2010,"Eclipse Timing Variations",2880.00000000000,3.3900000000,13.30000000,7.24622000000000e+02,724.62200000,1.690000,,,0.240000,,57000.00,,0.535000,,,515.81800000
"HAT-P-68 b",2020,"Transit",2.29840551000,0.0299600000,12.01604800,2.30108920000000e+02,230.10892000,0.727000,1027.80,184.8000,0.041000,88.73000,4508.00,0.670100,0.678500,-0.77911,11.1000,202.15200000
"TOI-2497 b",2023,"Transit",10.65566900000,0.1166000000,11.14172682,1.53193292174000e+03,1531.93292174,6.100000,1595.00,997.8085,0.195000,88.16000,7360.00,2.360000,1.859000,1.16732,1.0000,285.28900000
"TOI-5795 b",2025,"Transit",6.14063250000,0.0640000000,5.62000000,2.36600000000000e+01,23.66000000,0.730000,1136.78,240.6761,0.250000,88.54000,5715.00,1.082000,0.901000,0.05308,10.2000,156.53000000
"HR 858 b",2019,"Transit",3.58528700000,0.0488800000,2.00400000,3.55000000000000e+00,3.55000000,2.440000,1552.00,989.7000,0.000000,85.98000,6354.00,1.258000,1.204000,0.36361,2.0000,31.96400000
"OGLE-2008-BLG-092L b",2014,"Microlensing",,15.0000000000,8.74000000,5.70000000000000e+01,57.00000000,0.469000,,,,,,,0.710000,,,8100.00000000
"OGLE-2005-BLG-071L b",2005,"Microlensing",,3.6000000000,13.00000000,1.20000000000000e+03,1200.00000000,3.000000,55.00,,,,,,0.460000,,,3200.00000000
"TOI-1798.01",2024,"Transit",8.02152233100,0.0749840000,2.44800000,6.50000000000000e+00,6.50000000,2.610000,734.31,69.2600,0.000000,,5165.00,0.780000,0.870000,-0.41567,2.6000,113.18100000
"HIP 41378 f",2016,"Transit",542.07975000000,,9.20000000,1.20000000000000e+01,12.00000000,0.090000,294.00,1.2400,,89.98000,6320.00,1.273000,1.160000,0.39646,4.2790,106.28900000
"OGLE-2006-BLG-109L b",2008,"Microlensing",1788.50000000000,2.3000000000,14.00000000,2.31000000000000e+02,231.00000000,0.463000,82.00,,,,,,0.510000,,,1510.00000000
"HAT-P-16 b",2010,"Transit",2.77596727000,0.0413000000,14.68376472,1.34156043000000e+03,1341.56043000,2.479989,1566.00,1597.5900,0.046200,88.40000,6140.00,1.158000,1.218000,0.29447,0.5000,226.63700000
"HAT-P-13 b",2009,"Transit",2.91625000000,0.0438300000,14.25800000,2.70462000000000e+02,270.46200000,0.340833,1740.00,1978.5245,0.013300,83.40000,5653.00,1.756000,1.320000,0.34600,5.0000,246.81000000
"2MASS J02192210-3925225 b",2015,"Imaging",,156.0000000000,16.14096000,4.41783700000000e+03,4417.83700000,5.770000,,,,,3064.00,0.281000,0.108000,-2.23000,0.0350,40.08964117
"WASP-32 b",2010,"Transit",2.71866000000,0.0394000000,10.76064000,8.35892900000000e+02,835.89290000,3.240000,1388.00,616.3300,0.000000,85.10000,6140.00,0.950000,0.720000,0.19345,2.2200,275.99400000
"TOI-4201 b",2023,"Transit",3.58191940000,0.0400000000,13.67495645,7.88214449360000e+02,788.21444936,1.820000,725.00,45.2000,0.041000,88.00000,3794.00,0.630000,0.610000,-1.11919,1.4000,189.01100000
"HD 118203 c",2024,"Radial Velocity",5103.00000000000,6.2800000000,12.40000000,3.74719691853000e+03,3747.19691853,10.800000,146.00,,0.260000,93.70000,5742.00,2.040000,1.270000,0.64580,4.7300,92.25890000
"NGTS-24 b",2022,"Transit",3.46787960000,0.0479000000,13.60770257,1.65270771640000e+02,165.27077164,0.360000,1499.00,391.8300,0.000000,82.61000,5820.00,1.640000,1.260000,0.44592,4.7700,683.06200000
"WASP-66 b",2012,"Transit",4.08605000000,0.0546000000,15.69260000,7.46900500000000e+02,746.90050000,1.144000,1569.70,1434.7739,0.000000,85.90000,6600.00,1.760000,1.330000,0.63724,3.7000,500.25800000
"Qatar-8 b",2019,"Transit",3.71495000000,0.0474000000,14.40356500,1.17914930000000e+02,117.91493000,0.216000,1457.00,698.1480,0.000000,89.29000,5738.00,1.315000,1.029000,0.22789,8.3000,281.49800000
"TOI-1136 e",2022,"Transit",18.80100000000,0.1400000000,2.63900000,6.07000000000000e+00,6.07000000,1.810000,737.00,48.4771,0.042500,89.20000,5770.00,0.968000,1.022000,-0.02687,0.7000,84.53620000
"KELT-18 b",2017,"Transit",2.87175180000,0.0455000000,17.59813000,3.75039400000000e+02,375.03940000,0.377000,2085.00,3152.0000,0.000000,88.86000,6670.00,1.908000,1.524000,0.81291,1.9000,321.37600000
"TOI-431 d",2021,"Transit",12.46103000000,0.0980000000,3.29000000,9.90000000000000e+00,9.90000000,1.360000,633.00,28.3588,0.000000,89.70000,4850.00,0.731000,0.780000,-0.56509,,32.56860000
"HAT-P-22 b",2010,"Transit",3.21222000000,0.0414000000,12.89035000,7.85040100000000e+02,785.04010000,2.140000,1463.00,325.5690,0.020000,86.90000,5302.00,1.110000,1.130000,-0.11400,12.4000,81.76470000
"K2-287 b",2018,"Transit",14.89329100000,0.1206000000,9.49402300,1.00116450000000e+02,100.11645000,0.630000,804.00,,0.478000,88.13000,5695.00,1.070000,1.056000,-0.10829,4.5000,158.33500000
"GJ 341 b",2025,"Transit",7.57686000000,,0.88000000,4.00000000000000e+00,4.00000000,,629.00,13.8000,0.000000,89.24000,3770.00,0.506600,0.480000,-1.31072,,10.45400000
"K2-138 b",2017,"Transit",2.35309000000,0.0338500000,1.51000000,3.10000000000000e+00,3.10000000,4.900000,1157.00,486.0000,0.048000,87.20000,5356.30,0.863000,0.935000,-0.28654,2.8000,202.58500000
"CoRoT-1 b",2008,"Transit",1.50895570000,0.0275200000,16.70000000,3.27350000000000e+02,327.35000000,0.380000,1898.00,2852.6300,0.000000,85.10000,5950.00,1.110000,0.950000,0.29793,1.6000,787.90900000
"GJ 436 b",2004,"Radial Velocity",2.64388312000,0.0291000000,4.17000000,2.21000000000000e+01,22.10000000,1.800000,686.00,29.4322,0.138270,86.44000,3586.11,0.455000,0.470000,-1.58500,6.0000,9.75321000
"HIP 94235 b",2022,"Transit",7.71305700000,0.0787000000,3.00000000,3.79000000000000e+02,379.00000000,,1060.00,219.2841,0.320000,87.14000,5991.00,1.080000,1.094000,0.13759,0.1180,58.51460000
"TOI-6628 b",2025,"Transit",18.18424000000,0.1340000000,10.98480109,2.35193021180000e+02,235.19302118,0.980000,833.00,20.0861,0.670000,88.19000,5463.00,1.010000,0.970000,-0.08778,7.5000,320.52700000
"TOI-1736 b",2023,"Transit",7.07307600000,0.0730000000,3.18175535,1.23000000000000e+01,12.30000000,2.090000,1099.79,329.6000,0.000000,87.30000,5636.00,1.428600,1.037300,0.27068,9.2000,88.94820000
"TOI-3235 b",2023,"Transit",2.59261842000,0.0270900000,11.39953337,2.11355890655000e+02,211.35589065,0.780000,604.00,13.8883,0.029000,88.14000,3388.80,0.369700,0.393900,-1.78968,,72.81100000
"HATS-57 b",2019,"Transit",2.35062100000,0.0349300000,12.76705100,1.00021101000000e+03,1000.21101000,2.650000,1413.40,570.2330,0.028000,87.88000,5587.00,0.960000,1.026000,-0.09420,2.5000,279.48500000
"WASP-34 b",2010,"Transit",4.31768000000,0.0524000000,11.20900000,1.77984800000000e+02,177.98480000,0.412000,1250.00,229.9620,0.040000,85.20000,5700.00,0.910000,0.960000,0.03930,7.8000,132.09600000
"WASP-3 b",2007,"Transit",1.84683000000,0.0315000000,15.91678000,7.72326900000000e+02,772.32690000,0.890000,2020.00,1845.3000,0.000000,85.06000,6400.00,1.440000,1.620000,0.43416,2.1000,231.16100000
"TOI-4010 d",2023,"Transit",14.70886000000,0.1130000000,6.18000000,3.81500000000000e+01,38.15000000,0.900000,650.00,30.0000,0.070000,89.00000,4960.00,0.830000,0.880000,-0.39960,6.1000,177.50400000
"WASP-193 b",2023,"Transit",6.24634750000,0.0668000000,14.78464554,3.55967815840000e+01,35.59678158,0.060000,1250.00,402.0000,0.081000,89.25000,6080.00,1.213000,1.018000,0.26007,6.8000,362.08700000
"HD 135694 b",2023,"Transit",15.92347556800,0.1246950000,2.85700000,6.10000000000000e+00,6.10000000,2.050000,750.83,71.8000,0.000000,,5712.00,1.080000,1.020000,0.03941,9.8000,73.87130000
"MOA-2011-BLG-262L b",2014,"Microlensing",,0.9500000000,4.29000000,1.70000000000000e+01,17.00000000,1.180000,,,,,,,0.110000,,,7200.00000000
"HD 87883 b",2009,"Radial Velocity",3006.00000000000,3.7700000000,12.70000000,2.00549724817000e+03,2005.49724817,5.380000,,,0.720000,16.80000,4980.00,0.798557,0.800000,-0.47108,7.6000,18.29120000
"TOI-815 c",2024,"Transit",34.97614500000,0.1930000000,2.62000000,2.35000000000000e+01,23.50000000,7.200000,469.00,8.0300,0.220000,89.10700,4869.00,0.770000,0.776000,-0.50459,0.2000,59.71170000
"Kepler-25 d",2014,"Radial Velocity",122.40000000000,0.4164221832,10.00000000,7.19000000000000e+01,71.90000000,0.395000,,,0.130000,,6354.00,1.316000,1.165000,0.42160,2.7500,243.24900000
"TOI-3331 A b",2022,"Transit",2.01802310000,0.0314400000,12.97999965,7.21470483890000e+02,721.47048389,1.820000,1488.00,818.5000,0.000000,85.40000,5609.00,0.952000,1.016000,-0.09313,2.1000,217.19300000
"TOI-1438 b",2025,"Transit",5.13967000000,0.0553000000,3.04000000,9.40000000000000e+00,9.40000000,1.800000,971.00,145.0000,0.000000,86.21000,5230.00,0.820000,0.876000,-0.34679,2.2000,110.51300000
"K2-132 b",2017,"Transit",9.17510000000,0.0916000000,14.57170000,1.55736700000000e+02,155.73670000,0.277000,1586.00,293.3740,0.290000,77.46000,4840.00,3.850000,1.080000,0.94349,8.5000,609.81800000
"TOI-1470 b",2023,"Transit",2.52709300000,0.0285000000,2.18000000,7.32000000000000e+00,7.32000000,3.860000,734.00,46.3000,0.300000,87.42000,3709.00,0.469000,0.471000,-1.42481,1.3000,51.95030000
"Kepler-444 e",2015,"Transit",7.74349300000,0.0696000000,0.54600000,1.00000000000000e-01,0.10000000,4.800000,727.00,81.3440,0.100000,89.13000,5046.00,0.752000,0.758000,-0.42455,11.2300,36.43960000
"Kepler-444 d",2015,"Transit",6.18939200000,0.0600000000,0.53000000,2.00000000000000e-01,0.20000000,7.900000,783.00,109.6380,0.180000,88.16000,5046.00,0.752000,0.758000,-0.42455,11.2300,36.43960000
"TOI-1794 b",2024,"Transit",8.76552800000,0.0820000000,3.29701268,8.70000000000000e+00,8.70000000,1.310000,992.91,228.9130,0.000000,,5631.00,1.316200,0.969800,0.19728,10.8000,155.79100000
"TOI-615 b",2023,"Transit",4.66159830000,0.0678000000,18.97680433,1.38255357045000e+02,138.25535705,0.084000,1666.00,1286.0000,0.390000,86.73000,6850.00,1.732000,1.449000,0.76790,1.7000,360.40800000
"HIP 41378 b",2016,"Transit",15.57208000000,,2.59500000,6.89000000000000e+00,6.89000000,2.170000,959.00,140.0000,,88.80000,6320.00,1.273000,1.160000,0.39646,4.2790,106.28900000
"OGLE-2005-BLG-169L b",2006,"Microlensing",,3.5000000000,3.84000000,1.41000000000000e+01,14.10000000,1.370000,,,,,,,0.690000,,,4100.00000000
"TOI-2443 b",2023,"Transit",15.66858000000,0.1050000000,2.36300000,4.80000000000000e+00,4.80000000,2.000000,519.00,13.2931,0.301000,89.72000,4375.00,0.631000,0.642000,-0.86487,7.5000,23.92580000
"TOI-3261 b",2024,"Transit",0.88313310000,0.0171400000,3.82000000,3.03000000000000e+01,30.30000000,3.000000,1722.00,1466.0000,0.000000,87.80000,5068.00,0.849000,0.861000,-0.36653,6.5000,300.14100000
"HD 145675 c",2021,"Radial Velocity",15732.45889000000,20.0000000000,12.60000000,2.51084441530000e+03,2510.84441530,6.900000,,,0.520000,116.30000,5338.00,0.930000,0.970000,-0.15273,4.6000,17.93230000
"WASP-60 b",2012,"Transit",4.30500000000,0.0554800000,9.86392000,1.74806500000000e+02,174.80650000,0.378000,1479.00,925.4935,0.000000,87.90000,5900.00,1.170000,1.190000,0.34748,1.7000,431.05200000
"Kepler-37 d",2013,"Transit",39.79226220000,0.2109000000,2.03000000,2.00000000000000e+00,2.00000000,1.300000,499.00,10.3900,0.100000,89.33500,5357.00,0.789000,0.790000,-0.32187,7.6000,63.92070000
"TOI-776 b",2020,"Transit",8.24662000000,0.0653000000,1.79800000,5.00000000000000e+00,5.00000000,4.800000,520.00,11.5000,0.052000,89.41000,3725.00,0.547000,0.542000,-1.30980,6.1000,27.17010000
"TOI-512 b",2025,"Transit",7.18886000000,,1.54000000,3.57000000000000e+00,3.57000000,5.623888,1009.00,127.0000,0.020000,88.92000,5277.00,0.890000,0.740000,-0.25696,8.2350,67.39750000
"KELT-24 b",2019,"Transit",5.55149296000,0.0665000000,12.71098411,1.45883238813000e+03,1458.83238813,3.900000,1391.00,624.0000,0.031900,89.67000,6426.00,1.338000,1.268000,0.43933,1.9800,96.51730000
"TOI-858 B b",2023,"Transit",3.27971780000,0.0443500000,14.06727078,3.49611247700000e+02,349.61124770,0.690000,1529.00,908.9000,0.150000,86.80000,5842.00,1.308000,1.081000,0.25285,6.8000,250.48900000
"WASP-13 b",2009,"Transit",4.35301000000,0.0536200000,13.67498000,1.14418800000000e+02,114.41880000,0.222000,1531.00,617.3090,0.000000,85.43000,5950.00,1.370000,0.720000,0.43636,5.0000,227.53700000
"WASP-10 b",2008,"Transit",3.09276160000,0.0378100000,12.10600000,1.00112000000000e+03,1001.12000000,4.140000,1370.00,174.0323,0.047300,88.49000,4675.00,0.698000,0.750000,-0.64029,7.0000,140.99800000
"HAT-P-32 b",2011,"Transit",2.15000820000,0.0339700000,22.19382000,2.16124400000000e+02,216.12440000,0.108000,1835.70,1841.0000,0.159000,88.98000,6001.00,1.367000,1.132000,0.33806,2.7000,289.20500000
"Kepler-1704 b",2013,"Transit",988.88112000000,2.0270000000,11.94877343,1.32216617312000e+03,1322.16617312,4.070000,253.80,0.3420,0.920000,89.00000,5746.00,1.697000,1.132000,0.45179,7.4000,835.45500000
"Kepler-104 b",2014,"Transit",11.42754800000,0.0940000000,3.10000000,1.96000000000000e+01,19.60000000,4.064848,852.00,119.9070,0.000000,87.76000,5711.00,1.349000,0.818000,0.08926,13.1800,400.78500000
"TOI-2416 b",2023,"Transit",8.27547900000,0.0831000000,9.86390302,9.53485221000000e+02,953.48522100,5.400000,1080.00,130.9300,0.320000,90.00000,5808.00,1.236000,1.118000,0.19700,4.9000,557.73300000
"Kepler-20 e",2011,"Transit",6.09848820000,0.0637000000,0.82100000,7.60000000000000e-01,0.76000000,7.500000,1004.00,169.8000,0.092000,87.63000,5495.00,0.916400,0.929000,-0.16451,5.6000,282.56300000
"TOI-1136 f",2022,"Transit",26.32100000000,0.1740000000,3.73591482,9.70000000000000e+00,9.70000000,0.890000,658.00,26.4328,0.001000,89.30000,5770.00,0.968000,1.022000,-0.02687,0.7000,84.53620000
"HATS-32 b",2016,"Transit",2.81265480000,0.0402400000,14.00004100,2.92403600000000e+02,292.40360000,0.580000,1437.00,614.5934,0.471000,87.10000,5700.00,1.097000,1.099000,0.05690,3.5000,745.11600000
"HAT-P-46 b",2014,"Transit",4.46312900000,0.0577000000,14.39200000,1.56684000000000e+02,156.68400000,0.280000,1458.00,1405.4798,0.123000,85.50000,6120.00,1.396000,1.284000,0.39100,2.5000,290.73600000
"TOI-1244 b",2024,"Transit",6.40031648300,0.0606940000,2.46700000,6.60000000000000e+00,6.60000000,2.660000,714.86,56.6300,0.000000,,4599.00,0.721000,0.730000,-0.62893,5.9000,102.55100000
"HIP 56640 b",2021,"Radial Velocity",2675.57603000000,4.5500000000,12.70000000,2.15169831539000e+03,2151.69831539,5.770000,,,0.118000,85.09300,4769.00,4.930000,1.750000,1.05000,9.1500,122.32400000
"WASP-197 b",2025,"Transit",5.16722800000,0.0650000000,14.44837612,4.03324248483000e+02,403.32424848,0.740000,1665.00,1276.0000,0.000000,86.29000,6050.00,2.112000,1.360000,0.77067,2.6000,483.67500000
"WASP-132 c",2022,"Transit",1.01153624000,0.0183300000,1.84100000,6.26000000000000e+00,6.26000000,5.470000,1329.00,791.0000,0.000000,88.82000,4686.00,0.758000,0.789000,-0.57512,7.2000,122.91000000
"WASP-192 b",2019,"Transit",2.87867650000,0.0408000000,13.78707000,7.31009000000000e+02,731.00900000,1.620000,1620.00,471.1420,0.000000,82.70000,5910.00,1.320000,1.090000,0.28203,5.7000,508.88500000
"HAT-P-5 b",2007,"Transit",2.78849000000,0.0407300000,13.56289000,3.11473400000000e+02,311.47340000,0.668403,1517.00,850.6754,0.000000,86.75000,5960.00,1.120000,1.040000,0.18700,2.6000,303.33600000
"HAT-P-8 b",2008,"Transit",3.07634000000,0.0449600000,15.69260000,4.06822400000000e+02,406.82240000,0.685644,1713.00,1519.9645,0.000000,87.80000,6200.00,1.570000,1.270000,0.51900,3.4000,211.55300000
"TOI-5800 b",2025,"Transit",2.62788380000,0.0344000000,2.46000000,9.50000000000000e+00,9.50000000,3.460000,1108.00,274.1630,0.300000,85.08000,4850.00,0.773000,0.778000,-0.51004,8.1000,42.90520000
"Qatar-10 b",2019,"Transit",1.64532100000,0.0286000000,17.29548700,2.33922880000000e+02,233.92288000,0.248000,1955.00,1816.4800,0.000000,85.87000,6124.00,1.254000,1.156000,0.29951,3.2000,559.06800000
